date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:12	4615/4615	---M--	200	added ('OK')	text/html	etag:%221a0a16f-1207-3cab3c5f%22	http://dehame.free.fr/math/mpetoile/menu.htm	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/menu.htm	(from )
15:22:13	13253/-1	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jun%202013%2013:22:33%20GMT	http://dehame.free.fr/robots.txt		(from )
15:22:18	37085/37085	---M--	200	added ('OK')	text/x-tex	etag:%221a0a14c-90dd-3c17a64a%22	http://dehame.free.fr/math/mpetoile/tex/mpsem1.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem1.tex	(from )
15:22:25	47267/47267	---M--	200	added ('OK')	text/x-tex	etag:%221a0a150-b8a3-3f71dd23%22	http://dehame.free.fr/math/mpetoile/tex/mpsem2.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem2.tex	(from )
15:22:31	37116/37116	---M--	200	added ('OK')	text/x-tex	etag:%221a0a15a-90fc-3bf62fc6%22	http://dehame.free.fr/math/mpetoile/tex/mpsem3.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem3.tex	(from )
15:22:32	132034/132034	---M--	200	added ('OK')	application/pdf	etag:%221a0a0ac-203c2-3bbb405e%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem1.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem1.pdf	(from )
15:22:38	34364/34364	---M--	200	added ('OK')	text/x-tex	etag:%221a0a15e-863c-3bf62fce%22	http://dehame.free.fr/math/mpetoile/tex/mpsem4.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem4.tex	(from )
15:22:39	167810/167810	---M--	200	added ('OK')	application/pdf	etag:%221a0a0b6-28f82-3f71dd08%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem2.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem2.pdf	(from )
15:22:40	133362/133362	---M--	200	added ('OK')	application/pdf	etag:%221a0a0bc-208f2-3bf62fac%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem3.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem3.pdf	(from )
15:22:45	34382/34382	---M--	200	added ('OK')	text/x-tex	etag:%221a0a161-864e-3bf2b1c0%22	http://dehame.free.fr/math/mpetoile/tex/mpsem5.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem5.tex	(from )
15:22:56	41776/41776	---M--	200	added ('OK')	text/x-tex	etag:%221a0a164-a330-3bf2b1c8%22	http://dehame.free.fr/math/mpetoile/tex/mpsem6.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem6.tex	(from )
15:22:56	131970/131970	---M--	200	added ('OK')	application/pdf	etag:%221a0a0be-20382-3bce9c7a%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem4.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem4.pdf	(from )
15:23:00	131038/131038	---M--	200	added ('OK')	application/pdf	etag:%221a0a0e0-1ffde-3bd6eb8c%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem5.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem5.pdf	(from )
15:23:04	139697/139697	---M--	200	added ('OK')	application/pdf	etag:%221a0a0e4-221b1-3be97097%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem6.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem6.pdf	(from )
15:23:04	35071/35071	---M--	200	added ('OK')	text/x-tex	etag:%221a0a167-88ff-3bf2b1cf%22	http://dehame.free.fr/math/mpetoile/tex/mpsem7.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem7.tex	(from )
15:23:10	34828/34828	---M--	200	added ('OK')	text/x-tex	etag:%221a0a16a-880c-3bfbf5e5%22	http://dehame.free.fr/math/mpetoile/tex/mpsem8.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem8.tex	(from )
15:23:21	20987/20987	---M--	200	added ('OK')	text/x-tex	etag:%221a0a16c-51fb-3c0602d9%22	http://dehame.free.fr/math/mpetoile/tex/mpsem9.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem9.tex	(from )
15:23:21	125747/125747	---M--	200	added ('OK')	application/pdf	etag:%221a0a0e6-1eb33-3bf2b192%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem7.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem7.pdf	(from )
15:23:22	131270/131270	---M--	200	added ('OK')	application/pdf	etag:%221a0a0eb-200c6-3bfbf62b%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem8.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem8.pdf	(from )
15:23:23	85892/85892	---M--	200	added ('OK')	application/pdf	etag:%221a0a0ee-14f84-3c0602c4%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem9.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem9.pdf	(from )
15:23:26	26162/26162	---M--	200	added ('OK')	text/x-tex	etag:%221a0a0f4-6632-3c0e4d1c%22	http://dehame.free.fr/math/mpetoile/tex/mpsem10.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem10.tex	(from )
15:23:40	29138/29138	---M--	200	added ('OK')	text/x-tex	etag:%221a0a0f7-71d2-3c179359%22	http://dehame.free.fr/math/mpetoile/tex/mpsem11.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem11.tex	(from )
15:23:44	114422/114422	---M--	200	added ('OK')	application/pdf	etag:%221a0a051-1bef6-3c0e4d62%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem10.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem10.pdf	(from )
15:23:46	124395/124395	---M--	200	added ('OK')	application/pdf	etag:%221a0a059-1e5eb-3c17933b%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem11.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem11.pdf	(from )
15:23:46	34669/34669	---M--	200	added ('OK')	text/x-tex	etag:%221a0a0fd-876d-3c20fde3%22	http://dehame.free.fr/math/mpetoile/tex/mpsem12.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem12.tex	(from )
15:23:49	138040/138040	---M--	200	added ('OK')	application/pdf	etag:%221a0a05e-21b38-3c20fd93%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem12.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem12.pdf	(from )
15:23:55	44330/44330	---M--	200	added ('OK')	text/x-tex	etag:%221a0a100-ad2a-3c3c733d%22	http://dehame.free.fr/math/mpetoile/tex/mpsem13.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem13.tex	(from )
15:24:00	34397/34397	---M--	200	added ('OK')	text/x-tex	etag:%221a0a103-865d-3c4480b9%22	http://dehame.free.fr/math/mpetoile/tex/mpsem14.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem14.tex	(from )
15:24:07	36454/36454	---M--	200	added ('OK')	text/x-tex	etag:%221a0a109-8e66-3c4ee3a8%22	http://dehame.free.fr/math/mpetoile/tex/mpsem15.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem15.tex	(from )
15:24:08	147347/147347	---M--	200	added ('OK')	application/pdf	etag:%221a0a084-23f93-3c3c7324%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem13.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem13.pdf	(from )
15:24:09	132425/132425	---M--	200	added ('OK')	application/pdf	etag:%221a0a088-20549-3c4480a2%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem14.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem14.pdf	(from )
15:24:16	130003/130003	---M--	200	added ('OK')	application/pdf	etag:%221a0a08d-1fbd3-3c4ee38c%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem15.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem15.pdf	(from )
15:24:16	44671/44671	---M--	200	added ('OK')	text/x-tex	etag:%221a0a10b-ae7f-465aefff%22	http://dehame.free.fr/math/mpetoile/tex/mpsem16.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem16.tex	(from )
15:24:26	41610/41610	---M--	200	added ('OK')	text/x-tex	etag:%221a0a112-a28a-3c617825%22	http://dehame.free.fr/math/mpetoile/tex/mpsem17.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem17.tex	(from )
15:24:28	149427/149427	---M--	200	added ('OK')	application/pdf	etag:%221a0a090-247b3-465aefdc%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem16.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem16.pdf	(from )
15:24:29	141157/141157	---M--	200	added ('OK')	application/pdf	etag:%221a0a09a-22765-3c61780d%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem17.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem17.pdf	(from )
15:24:31	31024/31024	---M--	200	added ('OK')	text/x-tex	etag:%221a0a11a-7930-3c6aadf8%22	http://dehame.free.fr/math/mpetoile/tex/mpsem18.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem18.tex	(from )
15:24:33	25155/25155	---M--	200	added ('OK')	text/plain	etag:%221a0a174-6243-3c6aad5e%22	http://dehame.free.fr/math/mpetoile/gibbs.mws	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/gibbs.mws	(from )
15:24:36	31381/31381	---M--	200	added ('OK')	text/x-tex	etag:%221a0a11d-7a95-3c8646c3%22	http://dehame.free.fr/math/mpetoile/tex/mpsem19.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem19.tex	(from )
15:24:41	123519/123519	---M--	200	added ('OK')	application/pdf	etag:%221a0a09c-1e27f-3c6aade0%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem18.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem18.pdf	(from )
15:24:44	28848/28848	---M--	200	added ('OK')	text/x-tex	etag:%221a0a149-70b0-3c8f9462%22	http://dehame.free.fr/math/mpetoile/tex/mpsem20.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem20.tex	(from )
15:24:48	123766/123766	---M--	200	added ('OK')	application/pdf	etag:%221a0a09f-1e376-3c864730%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem19.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem19.pdf	(from )
15:24:50	36170/36170	---M--	200	added ('OK')	text/x-tex	etag:%221a0a14b-8d4a-3c98d71d%22	http://dehame.free.fr/math/mpetoile/tex/mpsem21.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem21.tex	(from )
15:24:50	109601/109601	---M--	200	added ('OK')	application/pdf	etag:%221a0a0a4-1ac21-3c8f9443%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem20.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem20.pdf	(from )
15:24:53	13253/-1	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jun%202013%2013:25:11%20GMT	http://dehame.free.fr/math/mpetoile/cercles_limites.mws	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/cercles_limites.2e.delayed	(from )
15:24:54	1580/1580	---M--	200	added ('OK')	text/plain	etag:%221a0a172-62c-3ca205ac%22	http://dehame.free.fr/math/mpetoile/homofocales.mws	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/homofocales.mws	(from )
15:24:55	25733/25733	---M--	200	added ('OK')	text/x-tex	etag:%221a0a14f-6485-3ca205f9%22	http://dehame.free.fr/math/mpetoile/tex/mpsem22.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem22.tex	(from )
15:25:00	28648/28648	---M--	200	added ('OK')	text/x-tex	etag:%221a0a156-6fe8-3cab3caa%22	http://dehame.free.fr/math/mpetoile/tex/mpsem23.tex	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/tex/mpsem23.tex	(from )
15:25:02	134810/134810	---M--	200	added ('OK')	application/pdf	etag:%221a0a0a8-20e9a-3c98d700%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem21.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem21.pdf	(from )
15:25:02	96075/96075	---M--	200	added ('OK')	application/pdf	etag:%221a0a0b1-1774b-3ca205e3%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem22.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem22.pdf	(from )
15:25:02	0/0	---M--	404	error ('')			http://dehame.free.fr/math/mpetoile/cercles_limites.mws	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/cercles_limites.html	(from http://dehame.free.fr/math/mpetoile/menu.htm)
15:25:04	103751/103751	---M--	200	added ('OK')	application/pdf	etag:%221a0a0b9-19547-3cab3c93%22	http://dehame.free.fr/math/mpetoile/pdf/mpsem23.pdf	/home/code2net/websites/Colles%20(%20Maths%20-Mp*)/dehame.free.fr/math/mpetoile/pdf/mpsem23.pdf	(from )
